,name,github_id,category,labels,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,projectrank_placing,new_addition,recent_commit_count,latest_stable_release_published_at,latest_stable_release_number,release_count,github_release_downloads,monthly_downloads
0,Flutter Examples,nisrulz/flutter-examples,Components,['Demonstrations'],https://github.com/nisrulz/flutter-examples,https://github.com/nisrulz/flutter-examples,Apache-2.0,2017-08-11 08:11:07,2022-04-10 21:40:10,2021-07-25 19:06:06,177.0,1522.0,211.0,67.0,21.0,23.0,6005.0,"[Examples] Simple basic isolated apps, for budding flutter devs.",23.0,19,True,1.0,True,,,,,,
1,StaggeredGridView,letsar/flutter_staggered_grid_view,Components,['UI'],https://github.com/letsar/flutter_staggered_grid_view,https://github.com/letsar/flutter_staggered_grid_view,MIT,2018-02-09 11:03:20,2022-03-15 15:09:14,2022-01-26 15:42:28,159.0,423.0,46.0,27.0,78.0,137.0,2462.0,A Flutter staggered grid view.,7.0,18,True,2.0,True,2.0,2022-01-01 14:09:06,0.6.0,4.0,,
2,Flutter Catalog,X-Wei/flutter_catalog,Components,['Demonstrations'],https://github.com/X-Wei/flutter_catalog,https://github.com/X-Wei/flutter_catalog,MIT,2018-08-05 08:33:21,2022-03-20 08:57:31,2022-03-20 08:57:31,529.0,491.0,75.0,23.0,16.0,48.0,1686.0,"An app showcasing Flutter components, with side-by-side source code view.",8.0,18,True,2.0,,5.0,2021-08-08 14:26:46,3.0.0,14.0,490.0,11.0
3,Generative Art,Solido/flutter-d-art,Components,['Demonstrations'],https://github.com/Solido/flutter-d-art,https://github.com/Solido/flutter-d-art,,2019-08-19 21:56:20,2022-01-21 19:30:38,2022-01-21 19:30:37,8.0,55.0,11.0,,,4.0,422.0,Generative d.Art with Flutter.,,6,False,3.0,True,1.0,,,,,
4,Official Gallery,,Components,['Demonstrations'],,flutter/gallery,,,,,,,,,,,,,,0,False,,True,,,,,,
